"replication","mse","coverage"
1,0.205797395549341,0.937
2,0.196243583321482,0.946
3,0.196657402376437,0.934
4,0.210675827414749,0.919
5,0.195705953465582,0.939
6,0.229696160006679,0.917
7,0.192312919175474,0.943
8,0.204066121557001,0.935
9,0.184340888061971,0.942
10,0.220971639376022,0.918
11,0.209160960270256,0.942
12,0.206767891770533,0.931
13,0.201432616858046,0.938
14,0.202393367322507,0.929
15,0.215229018270067,0.937
16,0.201462106896509,0.93
17,0.213258774631851,0.929
18,0.20954619014919,0.932
19,0.210603381729919,0.934
20,0.207528984969402,0.932
21,0.204521186983179,0.942
22,0.193739446298859,0.951
23,0.198384141102047,0.937
24,0.196519217243235,0.937
25,0.216039774717824,0.93
26,0.228905193617467,0.926
27,0.218872020255788,0.926
28,0.212956169888764,0.937
29,0.185968702727923,0.942
30,0.205784448778599,0.935
31,0.201753693302697,0.937
32,0.198817595684277,0.933
33,0.224763587836887,0.917
34,0.202230757997682,0.939
35,0.208372152792344,0.934
36,0.19832284451735,0.922
37,0.212986757749633,0.928
38,0.206624792819522,0.922
39,0.20658107237944,0.935
40,0.1927674098855,0.929
