"recency","history","mens","womens","zip_code_enc","newbie","channel_enc","W","Y","tau_hat","tau_lower","tau_upper"
4,241.42,0,1,1,1,3,0,0,0.0101209690913074,-0.00594415494986537,0.0261860931324801
2,29.99,0,1,3,1,1,0,0,-3.71897927638843e-05,-0.00187271950052898,0.00179833991500121
4,766.47,1,1,3,1,3,1,0,-0.00254184515851622,-0.0114715825826957,0.00638789226566323
9,506.83,1,0,1,1,3,1,0,-0.00457836063971152,-0.033020732172768,0.0238640108933449
4,194.11,1,0,3,0,1,0,0,0.00235748070049213,-0.00704080823784357,0.0117557696388278
7,235.14,0,1,3,1,1,1,0,0.00397456607649541,-0.00629096909310864,0.0142401012460995
11,160.04,1,0,1,0,2,1,0,-0.00219324759039731,-0.0130707184893694,0.00868422330857474
2,289.55,0,1,1,0,1,0,0,-0.000102475568616461,-0.0296491502644734,0.0294441991272405
12,29.99,1,0,3,1,1,0,0,0.00182524430019571,-0.00472094410856985,0.00837143270896126
10,307.64,0,1,3,0,3,1,0,0.00582514106404735,-0.0179718950824928,0.0296221772105875
5,425.1,1,0,1,1,1,1,0,-0.00619771962144942,-0.029282806028414,0.0168873667855151
1,506.51,1,0,3,1,3,0,0,-0.00775885849614937,-0.084150988342129,0.0686332713498302
4,52.12,1,0,3,0,1,1,0,0.00511854973966133,-0.0270013970968586,0.0372384965761813
8,104.94,0,1,3,0,1,0,0,0.0028227453618868,-0.00460542066202408,0.0102509113857977
5,354.03,1,0,3,0,2,1,0,0.00147256381822273,-0.0060221476621186,0.00896727529856405
11,120.14,1,0,3,0,2,1,0,0.00121975033678616,-0.00644760278733808,0.00888710346091041
11,81.06,1,0,3,0,2,1,0,-0.00217025253338312,-0.0240310942967811,0.0196905892300149
1,752.8,1,1,3,1,1,0,0,0.0261829467588616,-0.0795800970177398,0.131945990535463
6,92.32,0,1,3,0,1,1,0,-0.000193128526438366,-0.008615669425058,0.00822941237218127
5,215.03,0,1,3,1,2,0,0,1.56332699151842e-05,-0.0338125478981234,0.0338438144379538
1,856.4,0,1,3,1,2,0,0,0.00376636498062388,-0.0161380880317067,0.0236708179929544
4,49.8,1,0,3,1,2,1,0,0.00603255115226034,-0.013275916265488,0.0253410185700086
1,35.23,1,0,3,1,1,1,0,0.000390481515880556,-0.00595398907912355,0.00673495211088466
10,205.88,1,0,3,0,1,0,0,0.00723887315387763,-0.0172051569291149,0.0316829032368702
1,1281.48,1,0,3,1,1,1,0,0.00211524673441333,-0.0542302215966506,0.0584607150654772
11,37.45,0,1,3,0,1,0,0,0.0138864849691079,-0.0103659870194388,0.0381389569576546
5,556.5,0,1,1,1,2,1,0,0.00220015714255441,-0.0332977714627296,0.0376980857478384
2,203.52,1,1,3,1,3,0,0,-0.000558698542495064,-0.0270508795264461,0.025933482441456
9,744.22,1,0,1,1,2,0,0,-0.00515286736846157,-0.0495146913659756,0.0392089566290525
5,247.82,1,0,3,0,1,1,0,0.0239332523817208,-0.0181280418793643,0.0659945466428059
9,165.62,0,1,3,0,2,0,0,0.000574290376486234,-0.00388050412225427,0.00502908487522674
4,474.94,0,1,3,1,2,1,0,0.0182639894174033,-0.0231045900579244,0.0596325688927311
1,100.92,0,1,3,1,2,0,0,0.00531798468372744,-0.0131235306357217,0.0237595000031765
9,129.46,1,0,3,1,1,1,0,0.000868292440699744,-0.00303238258738097,0.00476896746878046
9,483.16,1,1,3,0,1,1,0,0.00289035357591903,-0.0127418933887563,0.0185226005405944
8,167.05,0,1,3,0,1,0,0,0.00174401367642019,-0.00596754370502585,0.00945557105786623
7,29.99,1,0,3,0,2,0,0,-0.00014180875547166,-0.00189067748372375,0.00160705997278043
1,137.29,0,1,3,0,1,0,0,0.00394293486688444,-0.0153390995088928,0.0232249692426617
12,63.28,1,0,3,1,1,1,0,0.00441374716316215,-0.0401780983647243,0.0490055926910486
3,66.47,1,0,1,1,2,1,0,0.0107259366472318,-0.0351188407128026,0.0565707140072662
9,33.63,0,1,1,0,1,0,0,0.00229054867534391,-0.00523636196285555,0.00981745931354338
1,155.65,1,0,3,0,2,0,0,0.00022690707195686,-0.0153711386131079,0.0158249527570217
4,127.51,1,0,3,1,2,0,0,0.00135536981082614,-0.00686718338560981,0.00957792300726209
1,234.17,1,0,1,1,1,0,0,0.0397444175918852,-0.00788650009896028,0.0873753352827308
7,29.99,0,1,3,0,1,0,0,-0.000405678825823253,-0.00196302362041422,0.00115166596876772
1,87,0,1,1,1,1,1,0,0.00446112249389456,-0.0203716059282075,0.0292938509159966
10,319.45,0,1,3,0,1,1,0,0.00591820271487661,-0.0245453852626887,0.036381790692442
5,30.59,0,1,3,1,2,1,0,0.000710583393722169,-0.00171999860460511,0.00314116539204945
7,489.49,1,0,1,1,2,0,0,-0.000659761295065977,-0.0249600637081909,0.023640541118059
2,231.27,0,1,3,1,1,0,0,0.0042996195758311,-0.0149417589868825,0.0235409981385448
9,433.89,0,1,1,0,1,1,0,0.00637720448259247,-0.0166798886801473,0.0294342976453322
2,227.46,1,0,3,0,2,0,0,0.0103757769902424,-0.00968566095605192,0.0304372149365368
1,525.42,0,1,3,1,1,1,0,0.00709279560507591,-0.0329535815849921,0.0471391727951439
6,333.21,1,0,3,1,1,1,0,0.0226998068947475,-0.0149986360525708,0.0603982498420657
4,275.27,1,0,1,1,1,0,0,-0.0180138007199816,-0.0661669317947298,0.0301393303547667
1,29.99,0,1,3,0,2,0,0,0.00177049026532521,-0.0106628075035382,0.0142037880341886
2,675.88,1,1,3,1,1,1,0,0.0152239809590817,-0.0441074272347783,0.0745553891529418
9,257.6,1,1,3,1,1,0,0,0.00673209121977972,-0.00607221332475194,0.0195363957643114
12,32.51,0,1,1,0,1,0,0,0.0123411855875629,-0.0199998259324819,0.0446821971076076
8,58.28,0,1,3,0,1,1,0,0.00204603973174512,-0.0141655801201158,0.0182576595836061
1,586.52,1,0,1,1,3,0,0,0.0123098743425243,-0.0371245571305888,0.0617443058156373
10,148.23,0,1,3,1,1,0,0,0.00255222632427333,-0.00924644446145769,0.0143508971100043
7,513.78,1,0,3,1,1,0,0,0.0129982511132773,-0.0233696376004658,0.0493661398270204
3,390.34,1,0,3,0,2,0,0,0.0145983131810645,-0.0186464087314139,0.047843035093543
9,718.97,0,1,1,1,3,1,0,0.00761276921360233,-0.010166457429257,0.0253919958564617
9,157.41,0,1,3,0,2,0,0,0.000141886817851197,-0.000935332829921551,0.00121910646562394
7,29.99,0,1,3,0,2,0,0,-0.00913633079517907,-0.022494844256988,0.00422218266662991
3,187.74,0,1,3,0,1,0,0,0.00422202181802757,-0.0150812999909829,0.023525343627038
2,29.99,0,1,3,1,2,0,0,-0.000114030718327155,-0.00143532669220918,0.00120726525555487
2,64.26,1,0,3,0,1,0,0,-0.0179205323041451,-0.0852678909184786,0.0494268263101884
2,122.01,0,1,3,1,2,1,0,-0.0149874998181537,-0.0961042455107668,0.0661292458744594
4,116.37,1,0,3,0,2,1,0,0.00579026562563207,-0.0152103826769923,0.0267909139282565
8,51.71,1,0,1,0,2,1,0,0.0227554280518452,-0.0186191945158482,0.0641300506195387
8,29.99,1,0,3,0,1,1,0,0.0065751007412719,-0.00520242507092024,0.018352626553464
8,216.61,1,1,3,1,1,1,0,0.00886161104877846,-0.0522344158474512,0.0699576379450081
8,668.22,1,1,3,1,1,1,0,0.0523781460017257,-0.0450707909820714,0.149827082985523
4,133.51,1,0,3,1,1,1,0,-0.00014819124683988,-0.00359362932712668,0.00329724683344692
11,51.84,1,0,3,0,2,1,0,0.00780581392596361,-0.0373515763274688,0.0529632041793961
2,102.13,0,1,3,0,2,0,0,-0.00833363345648252,-0.093032128473293,0.076364861560328
10,399.28,1,0,3,0,2,0,0,-2.23158953810839e-05,-0.00229555180502023,0.00225092001425806
7,149.34,1,0,3,0,1,1,0,0.102442230227972,-0.0702244668414583,0.275108927297403
6,104.41,1,0,1,0,2,0,0,-0.00172213835280181,-0.018349268892001,0.0149049921863973
9,29.99,1,0,3,0,2,0,0,0.00010170844384901,-0.00102537245126403,0.00122878933896205
2,48.16,0,1,3,0,2,1,0,0.0153009772806315,-0.0153984884713592,0.0460004430326223
12,122.98,1,0,3,0,2,0,0,0.000202940156223557,-0.00403348677619242,0.00443936708863954
4,575.31,0,1,3,1,2,1,0,0.0105004886665408,-0.0197701199793308,0.0407710973124123
11,259.8,0,1,3,1,2,0,0,0.0280573998576836,-0.0139058483834463,0.0700206480988136
1,449.17,0,1,3,0,3,0,0,-0.00510017217886581,-0.0182139031514058,0.00801355879367421
6,29.99,0,1,3,1,1,1,0,0.000136559982288249,-0.000476975882426558,0.000750095847003055
5,132.61,1,0,1,0,2,1,0,-0.0053980143038869,-0.0280365674573486,0.0172405388495748
10,202.56,0,1,3,0,1,1,0,0.00360163831829982,-0.00806197817315251,0.0152652548097522
1,553.55,0,1,3,1,1,0,0,0.000615073053328301,-0.00352473259542268,0.00475487870207928
10,310.4,0,1,1,0,2,1,0,0.0231764092502064,-0.0501404831321625,0.0964933016325753
3,820.13,1,1,1,1,2,0,0,0.01957606897854,-0.0386795925706529,0.0778317305277329
2,29.99,0,1,3,0,2,1,0,0.000463381425219469,-0.00276852549129795,0.00369528834173689
10,348.22,0,1,3,0,3,1,0,0.0124424107147336,-0.024166699722895,0.0490515211523622
11,120.57,1,0,3,1,1,0,0,-0.000418312994489502,-0.00464863509059924,0.00381200910162024
2,184.96,0,1,3,1,2,0,0,-0.00230532495856795,-0.0158900472825387,0.0112793973654028
11,81.14,1,0,3,0,1,1,0,0.00100469562262651,-0.091155012527803,0.093164403773056
10,190.31,0,1,3,0,2,1,0,0.00701362187905084,-0.00989510652330715,0.0239223502814088
1,29.99,1,0,1,0,2,1,0,0.00302795557464347,-0.00218468308600241,0.00824059423528935
10,89.7,1,0,3,0,2,0,0,-0.0106370057907976,-0.156783211602399,0.135509200020804
