"recency","history","mens","womens","zip_code_enc","newbie","channel_enc","W","Y","tau_hat","tau_lower","tau_upper"
4,241.42,0,1,1,1,3,0,0,-0.345445671495313,-4.59533629350498,3.90444495051435
2,29.99,0,1,3,1,1,0,0,0.0685562533775467,-0.300771528682181,0.437884035437274
4,766.47,1,1,3,1,3,1,0,-0.198432756161293,-1.614529660246,1.21766414792341
9,506.83,1,0,1,1,3,1,0,-0.401431663478944,-2.88084432910951,2.07798100215162
4,194.11,1,0,3,0,1,0,0,0.0473823187400028,-1.0795808166475,1.17434545412751
7,235.14,0,1,3,1,1,1,0,0.383835394798859,-0.877546983172913,1.64521777277063
11,160.04,1,0,1,0,2,1,0,-0.22879880639305,-1.1713710750868,0.713773462300704
2,289.55,0,1,1,0,1,0,0,-0.114155562159531,-2.72283147287761,2.49452034855855
12,29.99,1,0,3,1,1,0,0,0.777110504183397,-0.607316726991523,2.16153773535832
10,307.64,0,1,3,0,3,1,0,-0.262812226697153,-6.2559354918275,5.73031103843319
5,425.1,1,0,1,1,1,1,0,-0.233076577380086,-1.88512543057974,1.41897227581957
1,506.51,1,0,3,1,3,0,0,-4.39873806834395,-11.9924366887776,3.19496055208974
4,52.12,1,0,3,0,1,1,0,-0.277311674474988,-6.5337898975578,5.97916654860783
8,104.94,0,1,3,0,1,0,0,0.620936218817293,-1.59536414805672,2.83723658569131
5,354.03,1,0,3,0,2,1,0,0.676650476611581,-8.86921927252033,10.2225202257435
11,120.14,1,0,3,0,2,1,0,0.0706277468711308,-0.131443158473891,0.272698652216153
11,81.06,1,0,3,0,2,1,0,-0.0925623739647486,-0.603376719538563,0.418251971609066
1,752.8,1,1,3,1,1,0,0,0.530222401118006,-5.64730169532313,6.70774649755915
6,92.32,0,1,3,0,1,1,0,-0.00614615689862033,-0.697874235532714,0.685581921735474
5,215.03,0,1,3,1,2,0,0,1.27409294348657,-3.73881093531375,6.28699682228688
1,856.4,0,1,3,1,2,0,0,0.342282698269624,-1.10888745607781,1.79345285261706
4,49.8,1,0,3,1,2,1,0,3.20939454554398,-5.80042245457156,12.2192115456595
1,35.23,1,0,3,1,1,1,0,0.335927214678656,-0.982469073890389,1.6543235032477
10,205.88,1,0,3,0,1,0,0,1.39041132383789,-1.12599217438792,3.9068148220637
1,1281.48,1,0,3,1,1,1,0,-0.114735874501092,-1.45646302951798,1.22699128051579
11,37.45,0,1,3,0,1,0,0,2.89092381875645,-12.6136172888104,18.3954649263233
5,556.5,0,1,1,1,2,1,0,-0.983705467498881,-4.9353277230089,2.96791678801113
2,203.52,1,1,3,1,3,0,0,0.635246533988783,-2.76085918608541,4.03135225406298
9,744.22,1,0,1,1,2,0,0,0.0540907840019608,-1.7666691748343,1.87485074283822
5,247.82,1,0,3,0,1,1,0,0.940642640107044,-1.29641938654803,3.17770466676212
9,165.62,0,1,3,0,2,0,0,0.0555127814776787,-0.206355271592654,0.317380834548012
4,474.94,0,1,3,1,2,1,0,3.92373111021847,-2.40235652376069,10.2498187441976
1,100.92,0,1,3,1,2,0,0,0.727222757575796,-3.01727330706391,4.47171882221551
9,129.46,1,0,3,1,1,1,0,0.107450261646522,-0.27278055673275,0.487681080025794
9,483.16,1,1,3,0,1,1,0,1.58993715183201,-2.51114367469493,5.69101797835895
8,167.05,0,1,3,0,1,0,0,0.138748325233475,-0.591107248215411,0.868603898682361
7,29.99,1,0,3,0,2,0,0,-0.124835658645521,-0.915592621497125,0.665921304206084
1,137.29,0,1,3,0,1,0,0,0.603188063385197,-3.54068418711693,4.74706031388733
12,63.28,1,0,3,1,1,1,0,1.77471611037963,-4.22001460423507,7.76944682499432
3,66.47,1,0,1,1,2,1,0,1.17629378988942,-2.20546513728196,4.5580527170608
9,33.63,0,1,1,0,1,0,0,0.0647495696057894,-0.263436879991145,0.392936019202724
1,155.65,1,0,3,0,2,0,0,-0.641186258770971,-4.03116484876789,2.74879233122595
4,127.51,1,0,3,1,2,0,0,0.136660638093436,-0.40757807549922,0.680899351686091
1,234.17,1,0,1,1,1,0,0,6.12557339187803,-5.75279137021984,18.0039381539759
7,29.99,0,1,3,0,1,0,0,-0.0937499215237299,-0.736706836639289,0.549206993591829
1,87,0,1,1,1,1,1,0,0.565574690053133,-0.992344687299009,2.12349406740527
10,319.45,0,1,3,0,1,1,0,0.337211807585982,-0.550683536599432,1.2251071517714
5,30.59,0,1,3,1,2,1,0,0.318988733031901,-1.54997142511856,2.18794889118236
7,489.49,1,0,1,1,2,0,0,-0.0474677015336266,-2.61740984527423,2.52247444220698
2,231.27,0,1,3,1,1,0,0,0.49567132077972,-1.22146351795201,2.21280615951145
9,433.89,0,1,1,0,1,1,0,0.523027332840865,-1.02607968534691,2.07213435102864
2,227.46,1,0,3,0,2,0,0,1.4029909838891,-4.73049850380916,7.53648047158736
1,525.42,0,1,3,1,1,1,0,0.413440175271198,-1.04729958106443,1.87417993160683
6,333.21,1,0,3,1,1,1,0,1.30212938687506,-1.01365727065127,3.6179160444014
4,275.27,1,0,1,1,1,0,0,-2.025580314475,-6.40415778184357,2.35299715289356
1,29.99,0,1,3,0,2,0,0,0.117763143941074,-0.199545508836781,0.43507179671893
