"recency","history","mens","womens","zip_code_enc","newbie","channel_enc","W","Y","tau_hat","tau_lower","tau_upper"
4,241.42,0,1,1,1,3,0,0,0.106050590247719,-0.0264831006999865,0.238584281195424
2,29.99,0,1,3,1,1,0,0,0.0970752722587558,-0.111771036628589,0.305921581146101
4,766.47,1,1,3,1,3,1,0,-0.0333784994566121,-0.244517970433852,0.177760971520628
9,506.83,1,0,1,1,3,1,0,0.0423448673823433,-0.135134799916964,0.219824534681651
4,194.11,1,0,3,0,1,0,0,0.0256131074260149,-0.0976939967323702,0.1489202115844
7,235.14,0,1,3,1,1,1,0,0.0404505017804732,-0.077269710667985,0.158170714228931
11,160.04,1,0,1,0,2,1,0,-0.049543034775431,-0.129342755340577,0.0302566857897149
2,289.55,0,1,1,0,1,0,1,0.0111485237509649,-0.218729405068991,0.24102645257092
12,29.99,1,0,3,1,1,0,0,0.04451703825916,-0.0328386960799251,0.121872772598245
10,307.64,0,1,3,0,3,1,0,-0.0119808739700727,-0.247892653973676,0.223930906033531
5,425.1,1,0,1,1,1,1,0,0.0791093066419669,-0.08459511210445,0.242813725388384
1,506.51,1,0,3,1,3,0,0,0.0276441589960802,-0.0775556499917446,0.132843967983905
4,52.12,1,0,3,0,1,1,0,0.0611510978096583,-0.0300431050324832,0.1523453006518
8,104.94,0,1,3,0,1,0,0,0.147744184912514,-0.0382237536883184,0.333712123513347
5,354.03,1,0,3,0,2,1,0,-0.101771432386872,-0.347294536867459,0.143751672093714
11,120.14,1,0,3,0,2,1,0,0.0300506317808698,-0.196800019130205,0.256901282691945
11,81.06,1,0,3,0,2,1,0,0.109742353296106,-0.00153049986950717,0.221015206461718
1,752.8,1,1,3,1,1,0,0,0.12426994501301,-0.0563273464218997,0.304867236447921
6,92.32,0,1,3,0,1,1,0,0.0119550623009036,-0.276319614497585,0.300229739099392
5,215.03,0,1,3,1,2,0,0,0.0355918029573414,-0.135679541955169,0.206863147869851
1,856.4,0,1,3,1,2,0,0,0.131813241048107,-0.0429671323363614,0.306593614432576
4,49.8,1,0,3,1,2,1,0,0.0994264304739437,-0.0257012685367585,0.224554129484646
1,35.23,1,0,3,1,1,1,0,0.166530973913926,-0.0668175643295662,0.399879512157418
10,205.88,1,0,3,0,1,0,0,0.194485080582084,-0.0892205989070222,0.478190760071191
1,1281.48,1,0,3,1,1,1,0,0.261303956136079,0.0672222593671251,0.455385652905033
11,37.45,0,1,3,0,1,0,0,0.102006646523344,-0.00403423870754141,0.20804753175423
5,556.5,0,1,1,1,2,1,0,0.123362828198081,-0.00214119349967201,0.248866849895834
2,203.52,1,1,3,1,3,0,1,0.195111094299735,0.000536606402660983,0.389685582196809
9,744.22,1,0,1,1,2,0,0,0.0623005190031628,-0.184859173806314,0.30946021181264
5,247.82,1,0,3,0,1,1,0,0.123623653815091,0.0188007719752303,0.228446535654952
9,165.62,0,1,3,0,2,0,0,0.0518406795810569,-0.029540316863245,0.133221676025359
4,474.94,0,1,3,1,2,1,0,0.0513969569650778,-0.197902560687158,0.300696474617314
1,100.92,0,1,3,1,2,0,0,0.00733710680563763,-0.141624336170413,0.156298549781688
9,129.46,1,0,3,1,1,1,0,0.0135547017537878,-0.0305707155409024,0.057680119048478
9,483.16,1,1,3,0,1,1,1,0.217551658955358,0.0990644367953183,0.336038881115397
8,167.05,0,1,3,0,1,0,0,0.0675857343592914,-0.152980334670935,0.288151803389518
7,29.99,1,0,3,0,2,0,0,-0.0834941627170793,-0.391044357824192,0.224056032390034
1,137.29,0,1,3,0,1,0,0,0.0940153737657201,-0.0882763466431406,0.276307094174581
12,63.28,1,0,3,1,1,1,0,0.13705483308037,0.0173846556192452,0.256725010541496
3,66.47,1,0,1,1,2,1,0,0.088032144481082,-0.021146695978289,0.197210984940453
9,33.63,0,1,1,0,1,0,0,0.132066983922721,-0.0313938338232138,0.295527801668656
1,155.65,1,0,3,0,2,0,0,0.142079375935643,-0.0303910842778076,0.314549836149093
4,127.51,1,0,3,1,2,0,0,0.0790044457819269,-0.0905235918975718,0.248532483461426
1,234.17,1,0,1,1,1,0,0,0.0644883710841477,-0.0259406631815341,0.154917405349829
7,29.99,0,1,3,0,1,0,0,0.0164870008191664,-0.194777201491743,0.227751203130076
1,87,0,1,1,1,1,1,0,-0.0865034435396611,-0.308389631677801,0.135382744598479
10,319.45,0,1,3,0,1,1,0,0.121916286068358,-0.0846060823334541,0.328438654470171
5,30.59,0,1,3,1,2,1,0,0.0587976769745473,-0.0932101772577219,0.210805531206817
7,489.49,1,0,1,1,2,0,1,0.04587135954926,-0.160045300349009,0.251788019447529
2,231.27,0,1,3,1,1,0,0,0.0693355854065746,-0.109119800006972,0.247790970820121
9,433.89,0,1,1,0,1,1,0,-0.0115536271893683,-0.202550956510305,0.179443702131568
2,227.46,1,0,3,0,2,0,0,0.0502727352315298,-0.0944831797715619,0.195028650234621
1,525.42,0,1,3,1,1,1,0,0.00393360833528196,-0.108201909658738,0.116069126329301
6,333.21,1,0,3,1,1,1,0,0.0838498325804455,-0.0443301129831694,0.21202977814406
4,275.27,1,0,1,1,1,0,0,0.0483501539616632,-0.0824747844491494,0.179175092372476
1,29.99,0,1,3,0,2,0,0,0.0322132234630372,-0.221899619709289,0.286326066635364
2,675.88,1,1,3,1,1,1,0,0.163204790648916,-0.0844906671399571,0.41090024843779
9,257.6,1,1,3,1,1,0,0,0.054180869108637,-0.0642010125598853,0.172562750777159
12,32.51,0,1,1,0,1,0,0,0.0802145206475666,-0.156296253516107,0.31672529481124
8,58.28,0,1,3,0,1,1,0,0.0468418085574661,-0.0378637257856209,0.131547342900553
1,586.52,1,0,1,1,3,0,0,0.195234028698665,0.0037686927613102,0.38669936463602
10,148.23,0,1,3,1,1,0,0,0.0341225437778901,-0.0317730326070824,0.100018120162863
7,513.78,1,0,3,1,1,0,0,0.0636060223422592,-0.0658268886488446,0.193038933333363
3,390.34,1,0,3,0,2,0,0,0.113916140227493,-0.259919246745698,0.487751527200683
9,718.97,0,1,1,1,3,1,0,0.0985263865196715,-0.242539548297367,0.43959232133671
9,157.41,0,1,3,0,2,0,0,0.00885117801100009,-0.0541715832049865,0.0718739392269866
7,29.99,0,1,3,0,2,0,0,-0.0639392801993656,-0.300897152186343,0.173018591787612
3,187.74,0,1,3,0,1,0,0,0.0874066631901286,-0.034324393016398,0.209137719396655
2,29.99,0,1,3,1,2,0,0,0.0983987348612224,0.0164955533589229,0.180301916363522
2,64.26,1,0,3,0,1,0,0,0.130500976319117,-0.0448902361585796,0.305892188796814
2,122.01,0,1,3,1,2,1,0,0.029988297513421,-0.0802752234608788,0.140251818487721
4,116.37,1,0,3,0,2,1,0,0.100598241052547,-0.0582758146869286,0.259472296792022
8,51.71,1,0,1,0,2,1,1,0.152171826772399,0.0454592776416917,0.258884375903107
8,29.99,1,0,3,0,1,1,0,0.0284435406948457,-0.0196253036480652,0.0765123850377567
8,216.61,1,1,3,1,1,1,0,0.184545152345145,-0.0326972291743737,0.401787533864663
8,668.22,1,1,3,1,1,1,1,0.13824558469263,-0.0494912651021766,0.325982434487437
4,133.51,1,0,3,1,1,1,0,0.0223227069487268,-0.0713294955305157,0.115974909427969
11,51.84,1,0,3,0,2,1,0,0.136584157365748,-0.105029195577947,0.378197510309443
2,102.13,0,1,3,0,2,0,0,0.101471518089099,-0.0841145964339366,0.287057632612134
10,399.28,1,0,3,0,2,0,0,0.0362854724191898,-0.0719346428094536,0.144505587647833
7,149.34,1,0,3,0,1,1,1,0.161583819310252,-0.111208465015898,0.434376103636402
6,104.41,1,0,1,0,2,0,0,0.0121281085226272,-0.174042832628869,0.198299049674123
9,29.99,1,0,3,0,2,0,0,0.0531255376053172,-0.171926346385112,0.278177421595747
2,48.16,0,1,3,0,2,1,1,0.134694238107022,0.00309967679264131,0.266288799421403
12,122.98,1,0,3,0,2,0,0,0.077743748142705,-0.209900065849215,0.365387562134625
4,575.31,0,1,3,1,2,1,0,0.156173370867416,-0.0192466726803396,0.331593414415172
11,259.8,0,1,3,1,2,0,1,0.0803715126872683,-0.0604758998412243,0.221218925215761
1,449.17,0,1,3,0,3,0,0,0.0773093529481671,-0.231708197511114,0.386326903407448
6,29.99,0,1,3,1,1,1,0,0.0135892379835276,-0.0193604862291114,0.0465389621961667
5,132.61,1,0,1,0,2,1,0,0.169430897176522,-0.0335459917851202,0.372407786138165
10,202.56,0,1,3,0,1,1,0,0.00113659440685544,-0.0871854145174965,0.0894586033312074
1,553.55,0,1,3,1,1,0,0,0.00805299081631277,-0.303560631302959,0.319666612935585
10,310.4,0,1,1,0,2,1,0,0.010030667197068,-0.142888233891189,0.162949568285325
3,820.13,1,1,1,1,2,0,0,0.0312035398936172,-0.176534295788319,0.238941375575553
2,29.99,0,1,3,0,2,1,0,-0.0484383503757344,-0.245252774049877,0.148376073298408
10,348.22,0,1,3,0,3,1,0,0.130124992263708,-0.135674608952876,0.395924593480291
11,120.57,1,0,3,1,1,0,0,0.0528903220138029,-0.0468860915440912,0.152666735571697
2,184.96,0,1,3,1,2,0,1,0.0152868506734141,-0.101561256088928,0.132134957435756
11,81.14,1,0,3,0,1,1,0,0.0704655746645471,-0.0604821355278644,0.201413284856959
10,190.31,0,1,3,0,2,1,0,0.00294993215483276,-0.0992881992080267,0.105188063517692
1,29.99,1,0,1,0,2,1,0,-0.0808561157534709,-0.402185476468673,0.240473244961731
10,89.7,1,0,3,0,2,0,0,0.0345510352715113,-0.0686657770500167,0.137767847593039
3,29.99,0,1,3,0,2,1,0,0.0208373579694349,-0.363658015447981,0.405332731386851
9,46.09,1,0,3,1,2,0,0,0.105389888139418,0.0294441898894842,0.181335586389351
8,178,0,1,3,1,2,0,0,0.0232308062882828,-0.0624718641400443,0.10893347671661
6,78.76,0,1,1,1,1,0,0,0.151796946900917,0.0557302679891907,0.247863625812644
6,788.76,1,0,3,1,3,1,1,-0.0742264818297315,-0.403113137858453,0.25466017419899
6,288.62,0,1,3,0,3,1,1,0.103635783503665,-0.0423546739006172,0.249626240907948
