"recency","history","mens","womens","zip_code_enc","newbie","channel_enc","W","Y","tau_hat","tau_lower","tau_upper"
7,548.91,0,1,3,1,1,1,0,0.00615706906480281,-0.0137449363148108,0.0260590744444165
3,58.13,1,0,3,1,2,0,0,-0.0143795492825234,-0.0461513303871464,0.0173922318220997
10,63.79,1,0,1,1,1,1,0,-4.39465985381688e-05,-0.00307368639177708,0.00298579319470075
4,194.11,1,0,3,0,1,0,0,-0.000314141362436218,-0.0114088365139411,0.0107805537890687
11,189.25,0,1,3,1,1,0,0,0.00368314456569525,-0.00581426369068886,0.0131805528220794
12,29.99,0,1,3,1,2,0,0,-0.0120962463158798,-0.0430803999086388,0.0188879072768792
1,747.31,0,1,1,1,2,1,0,0.00827453700995648,-0.0100353088948073,0.0265843829147202
6,136.63,1,0,3,1,2,1,0,-0.00469715662683887,-0.0317544142149109,0.0223601009612331
11,223.39,1,0,1,1,1,1,0,-0.00315654843001566,-0.0766826249615339,0.0703695281015026
1,506.51,1,0,3,1,3,0,0,-0.00111695460194333,-0.032895491796758,0.0306615825928714
6,604.39,1,1,3,1,1,0,0,-3.7553813402966e-05,-0.0130950887549741,0.0130199811281682
1,60.71,0,1,1,1,1,1,0,0.0650192783682158,-0.0303541697353025,0.160392726471734
2,112.13,1,0,3,1,2,1,0,-0.00195174115116375,-0.0092882007721597,0.00538471846983221
4,225.89,1,1,1,1,2,1,0,0.000762213661514365,-0.0197514829604424,0.0212759102834711
10,151.43,1,0,3,0,2,0,0,-0.00120505623718818,-0.00799062759029546,0.0055805151159191
4,770.38,0,1,1,1,3,0,0,0.00576711837141036,-0.0117288423208188,0.0232630790636396
9,239.91,0,1,1,0,1,0,0,0.0014821064324948,-0.00579108420712812,0.00875529707211771
4,297.8,1,1,3,0,1,1,1,0.0170688916155928,-0.0194541012052896,0.0535918844364752
10,35.84,1,0,3,1,1,0,0,0.0146804527447442,-0.0125338941498056,0.0418947996392941
12,75.26,1,0,3,1,1,1,0,-0.00258653015149688,-0.0229196306912263,0.0177465703882325
10,327.18,0,1,3,0,1,1,0,0.00147050721905001,-0.00572609979849316,0.00866711423659318
10,29.99,1,0,3,0,2,1,0,-0.0302856364508182,-0.100809773581733,0.0402385006800964
1,68.5,0,1,3,0,1,0,0,-0.00049139352049197,-0.0103204606724084,0.00933767363142442
11,37.45,0,1,3,0,1,0,0,0.00090374984879954,-0.00332311874963216,0.00513061844723124
2,38.34,1,0,3,0,2,1,0,-0.00123038740478376,-0.0103155665515581,0.00785479174199062
1,422.81,0,1,3,0,1,1,0,0.00255491023269518,-0.0266198420026206,0.0317296624680109
9,744.22,1,0,1,1,2,0,0,0.0111268795413431,-0.0124558119830594,0.0347095710657457
5,283.55,1,0,3,1,1,0,0,-0.0290142392873005,-0.132083531694479,0.0740550531198777
7,233.4,1,1,3,0,3,0,0,0.000622077147877741,-0.00290939138142202,0.00415354567717751
8,60.69,1,0,3,1,1,1,0,0.00671139307896712,-0.0197285983922266,0.0331513845501608
9,157.76,1,0,3,0,1,1,0,0.00149341254010926,-0.0061269108692773,0.00911373594949583
4,553.42,1,0,1,1,2,1,0,0.00474124531566702,-0.0143550549451615,0.0238375455764955
7,770.87,1,1,3,1,1,1,0,-0.0102523058478151,-0.0648748298621168,0.0443702181664865
10,149.31,0,1,1,1,1,1,0,0.00815907880972166,-0.0130858144972275,0.0294039721166708
2,542.34,0,1,3,1,1,0,0,0.0141822417140034,-0.00858408014586677,0.0369485635738736
1,1873.15,0,1,3,1,1,1,0,0.0431196883423227,-0.0263861902036397,0.112625566888285
1,290.03,1,1,3,0,2,0,0,0.00167561126665317,-0.00958221209261066,0.012933434625917
10,29.99,0,1,3,0,2,1,0,-0.0271353082875468,-0.0767865088109982,0.0225158922359045
6,64.33,1,0,1,0,2,0,0,0.00129640884509015,-0.0236445177305013,0.0262373354206816
9,33.63,0,1,1,0,1,0,0,0.00190082508989395,-0.0100101905362048,0.0138118407159927
6,528.03,1,1,3,1,3,1,0,-0.0375248820993447,-0.172297353964158,0.0972475897654689
10,29.99,1,0,3,0,2,1,0,-0.0302856364508182,-0.100809773581733,0.0402385006800964
9,404.03,1,1,3,0,3,0,0,-5.87916789281465e-06,-0.00170570072672372,0.00169394239093809
1,155.65,1,0,3,0,2,0,0,-0.000324464981450183,-0.00335140580451403,0.00270247584161366
1,234.17,1,0,1,1,1,0,0,-0.00176706030682449,-0.0295216244960815,0.0259875038824325
11,112.61,0,1,3,0,2,0,0,0.0102383442638949,-0.0142390098530438,0.0347156983808335
8,29.99,1,0,3,1,2,0,0,0.00872967180198265,-0.0121543699359166,0.0296137135398819
6,447.01,0,1,3,1,2,1,0,0.000721295339508669,-0.0135860221294842,0.0150286128085016
7,489.49,1,0,1,1,2,0,0,0.0116385860794864,-0.00918730032527634,0.0324644724842492
1,352.99,1,0,3,0,2,1,0,-0.0064985837445061,-0.0277513453089105,0.0147541778198983
1,331.21,1,0,1,1,1,0,0,-0.0178942007262801,-0.0667876653974023,0.0309992639448422
9,29.99,0,1,3,1,2,0,0,0.00068056975722587,-0.0037804207054985,0.00514156021995024
8,212.27,0,1,3,1,3,1,0,-0.00082847397861246,-0.0251735635946261,0.0235166156374012
4,186.97,1,0,3,1,2,0,0,-0.0146891215563095,-0.0702394570342991,0.04086121392168
6,29.99,0,1,3,1,1,1,0,0.00242746490184641,-0.00813809145908089,0.0129930212627737
4,78.96,0,1,3,1,1,0,0,0.00193755412034267,-0.0113926663764034,0.0152677746170888
3,314.67,1,0,1,1,2,0,0,0.0270261076826804,-0.0240594323526009,0.0781116477179617
4,72.38,1,0,1,1,2,1,0,0.00567126961125061,-0.0106774398929,0.0220199791154012
8,59.95,1,0,3,0,1,0,0,0.00110671864855648,-0.015108373046855,0.0173218103439679
9,257.6,1,1,3,1,1,0,0,0.0443728965219898,-0.055355076242682,0.144100869286661
9,174.64,0,1,3,1,2,0,0,0.00993979278337591,-0.0163304114151128,0.0362099969818646
1,817.36,1,1,3,1,1,1,0,-0.000147846381266047,-0.0411767452477704,0.0408810524852383
10,85.31,1,0,3,0,2,0,0,-0.0093797319109569,-0.0258486486776371,0.00708918485572328
8,56.17,1,0,3,0,1,0,0,-0.00481361853936537,-0.019325795841075,0.0096985587623442
12,618.13,1,1,3,1,1,0,0,0.000352940710381889,-0.0133335907156004,0.0140394721363642
6,29.99,0,1,1,1,1,0,0,0.0512484931052132,-0.0581008530221929,0.160597839232619
5,153.22,0,1,3,0,1,0,0,0.0123542084257635,-0.0192297945127831,0.0439382113643101
3,187.74,0,1,3,0,1,0,0,-0.000474773549711776,-0.0261388490367347,0.0251893019373112
3,105.08,1,0,1,0,1,0,0,-0.0016410991849706,-0.00781177404122591,0.0045295756712847
