"recency","history","mens","womens","zip_code_enc","newbie","channel_enc","W","Y","tau_hat","tau_lower","tau_upper"
7,548.91,0,1,3,1,1,1,0,1.04327845421932,-1.46643414180288,3.55299105024153
3,58.13,1,0,3,1,2,0,0,-1.11549637328846,-4.40772680703154,2.17673406045462
10,63.79,1,0,1,1,1,1,0,0.017172146127045,-0.0848187722246602,0.11916306447875
4,194.11,1,0,3,0,1,0,0,0.0361971438400285,-1.31547003593841,1.38786432361846
11,189.25,0,1,3,1,1,0,0,0.726436134721639,-6.32581079380893,7.77868306325221
12,29.99,0,1,3,1,2,0,0,-1.62180340290714,-7.81627853824663,4.57267173243235
1,747.31,0,1,1,1,2,1,0,0.279593852286949,-0.7883744231669,1.3475621277408
6,136.63,1,0,3,1,2,1,0,0.317543972369577,-2.74728941308691,3.38237735782606
11,223.39,1,0,1,1,1,1,0,0.223117995873127,-1.55999397778912,2.00622996953537
1,506.51,1,0,3,1,3,0,0,1.61545163431692,-14.4353377619988,17.6662410306327
6,604.39,1,1,3,1,1,0,0,-0.848970545325191,-3.42879354559691,1.73085245494653
1,60.71,0,1,1,1,1,1,0,3.14559225723223,-0.545486159378938,6.8366706738434
2,112.13,1,0,3,1,2,1,0,-0.142965921459358,-0.867790461398122,0.581858618479406
4,225.89,1,1,1,1,2,1,0,0.365619176936866,-2.50351131874024,3.23474967261397
10,151.43,1,0,3,0,2,0,0,-0.0171845881089514,-0.155218353727397,0.120849177509494
4,770.38,0,1,1,1,3,0,0,0.603445386170309,-0.637822132928521,1.84471290526914
9,239.91,0,1,1,0,1,0,0,0.22662780901046,-0.81619384215242,1.26944946017334
4,297.8,1,1,3,0,1,1,264.66,1.51832664412418,-2.92502989354625,5.96168318179461
10,35.84,1,0,3,1,1,0,0,2.95854185630172,-4.58776752976232,10.5048512423658
12,75.26,1,0,3,1,1,1,0,0.2449949440859,-1.63814705096261,2.12813693913441
10,327.18,0,1,3,0,1,1,0,-0.0424052491849418,-0.500604622050395,0.415794123680512
10,29.99,1,0,3,0,2,1,0,-3.39087128017216,-14.2977766404501,7.5160340801058
1,68.5,0,1,3,0,1,0,0,-0.256687882429149,-1.97505005336194,1.46167428850365
11,37.45,0,1,3,0,1,0,0,0.115192111089692,-0.123873983038987,0.35425820521837
2,38.34,1,0,3,0,2,1,0,-0.507635951822358,-5.86931034003761,4.8540384363929
1,422.81,0,1,3,0,1,1,0,0.162993769852151,-1.23506099890011,1.56104853860441
9,744.22,1,0,1,1,2,0,0,1.53554731715469,-2.44584349573251,5.51693813004189
5,283.55,1,0,3,1,1,0,0,-2.11377523794374,-6.93864462531875,2.71109414943127
