"recency","history","mens","womens","zip_code_enc","newbie","channel_enc","W","Y","tau_hat","tau_lower","tau_upper"
7,548.91,0,1,3,1,1,1,1,0.0893989089977644,-0.0921559913538696,0.270953809349398
3,58.13,1,0,3,1,2,0,1,-0.0266284175962072,-0.190680498558683,0.137423663366268
10,63.79,1,0,1,1,1,1,0,0.080604759499251,-0.100710758478123,0.261920277476625
4,194.11,1,0,3,0,1,0,0,-0.0449302381861849,-0.198171850155947,0.108311373783577
11,189.25,0,1,3,1,1,0,0,-0.00373498259738056,-0.145423456634278,0.137953491439516
12,29.99,0,1,3,1,2,0,0,0.0784802813545715,0.0018833519553962,0.155077210753747
1,747.31,0,1,1,1,2,1,0,0.119219196726785,-0.0925346210257281,0.330973014479298
6,136.63,1,0,3,1,2,1,0,0.184189089684834,-0.0296076460882385,0.397985825457906
11,223.39,1,0,1,1,1,1,0,0.0226164953399169,-0.196180600246483,0.241413590926317
1,506.51,1,0,3,1,3,0,0,-0.0190940462174741,-0.091582004206682,0.0533939117717338
6,604.39,1,1,3,1,1,0,0,0.0321163431210652,-0.0910913020656743,0.155323988307805
1,60.71,0,1,1,1,1,1,0,-0.0537345366983438,-0.267574357892748,0.160105284496061
2,112.13,1,0,3,1,2,1,0,0.14278415033871,0.0329335073446275,0.252634793332792
4,225.89,1,1,1,1,2,1,0,-0.00177023654091265,-0.116301808913136,0.112761335831311
10,151.43,1,0,3,0,2,0,0,-0.0268476817316895,-0.219499351625511,0.165803988162132
4,770.38,0,1,1,1,3,0,0,0.0992070311873969,-0.060548162045804,0.258962224420598
9,239.91,0,1,1,0,1,0,0,-0.0212491509558296,-0.164758127856482,0.122259825944823
4,297.8,1,1,3,0,1,1,1,0.0376101043129813,-0.119535408130591,0.194755616756554
10,35.84,1,0,3,1,1,0,0,0.0328092682839331,-0.0439139605018169,0.109532497069683
12,75.26,1,0,3,1,1,1,0,0.0148212407786841,-0.0284243403359385,0.0580668218933067
10,327.18,0,1,3,0,1,1,0,0.105594018844068,-0.0289839154193598,0.240171953107497
10,29.99,1,0,3,0,2,1,0,0.0015030904248722,-0.123466502079008,0.126472682928753
1,68.5,0,1,3,0,1,0,0,0.089743490379663,-0.0285359047791965,0.208022885538523
11,37.45,0,1,3,0,1,0,0,0.0545619636243569,-0.103136814936685,0.212260742185399
2,38.34,1,0,3,0,2,1,0,0.0278721849513634,-0.19572118286565,0.251465552768377
1,422.81,0,1,3,0,1,1,1,0.0579689702006299,-0.161681412871643,0.277619353272903
9,744.22,1,0,1,1,2,0,0,-0.00970571650638297,-0.120006445572571,0.100595012559805
5,283.55,1,0,3,1,1,0,0,-0.0507584158700742,-0.228645672549075,0.127128840808927
7,233.4,1,1,3,0,3,0,0,0.0415381951806624,-0.059113089449085,0.14218947981041
8,60.69,1,0,3,1,1,1,0,0.0283208948489632,-0.0245050715548286,0.0811468612527549
9,157.76,1,0,3,0,1,1,0,0.00411287816096947,-0.13838239040354,0.146608146725479
4,553.42,1,0,1,1,2,1,1,0.0280084057020176,-0.100263532594275,0.15628034399831
7,770.87,1,1,3,1,1,1,0,-0.00527491923095044,-0.151150212748461,0.14060037428656
10,149.31,0,1,1,1,1,1,0,0.117890243004856,0.0501362446756325,0.18564424133408
2,542.34,0,1,3,1,1,0,0,0.131213303782735,-0.0601992998106882,0.322625907376158
1,1873.15,0,1,3,1,1,1,0,0.0770092699478355,-0.194057249604078,0.348075789499749
1,290.03,1,1,3,0,2,0,1,0.26248009033819,0.0364917782690287,0.488468402407352
10,29.99,0,1,3,0,2,1,0,0.0221695723659681,-0.118234340633941,0.162573485365877
6,64.33,1,0,1,0,2,0,1,0.0958358804430584,-0.0558830709376286,0.247554831823745
9,33.63,0,1,1,0,1,0,0,0.0921958132453132,-0.100850582002803,0.285242208493429
6,528.03,1,1,3,1,3,1,0,0.169873073445763,0.0232801407835455,0.31646600610798
10,29.99,1,0,3,0,2,1,0,0.0015030904248722,-0.123466502079008,0.126472682928753
9,404.03,1,1,3,0,3,0,0,0.155780633390167,-0.0727051614586493,0.384266428238984
1,155.65,1,0,3,0,2,0,0,-0.115242070336955,-0.298690663148919,0.0682065224750098
1,234.17,1,0,1,1,1,0,0,-0.0493983999961462,-0.165117450402144,0.0663206504098518
11,112.61,0,1,3,0,2,0,0,0.10338820606146,-0.0301153001922715,0.236891712315191
8,29.99,1,0,3,1,2,0,0,0.0256570223350839,0.00266279004099664,0.0486512546291712
6,447.01,0,1,3,1,2,1,0,-0.0513109908396885,-0.232761653810933,0.130139672131557
